name,normalized_name,description,clinical_note,source,source_url,confidence
Penicillins,penicillins,Penicillin-class beta-lactam antibiotics; includes amoxicillin and related aminopenicillins.,"Use for documented penicillin allergy, especially immediate hypersensitivity or anaphylaxis.",MedFlow clinical seed,https://www.cdc.gov/std/treatment-guidelines/penicillin-allergy.htm,starter_reviewed
Beta-lactams,beta_lactams,"Broad beta-lactam antibiotic family including penicillins, cephalosporins, carbapenems, and monobactams.",Useful parent group for cross-reactivity review; do not treat all beta-lactam allergies as equal without reaction history.,MedFlow clinical seed,https://www.cdc.gov/std/treatment-guidelines/penicillin-allergy.htm,starter_reviewed
Cephalosporins,cephalosporins,Cephalosporin beta-lactam antibiotics.,Cross-reactivity risk is higher with similar side chains and severe immediate penicillin reactions.,MedFlow clinical seed,https://www.cdc.gov/std/treatment-guidelines/penicillin-allergy.htm,starter_reviewed
NSAIDs,nsaids,"Non-steroidal anti-inflammatory drugs; includes ibuprofen, diclofenac, and naproxen.","Relevant for NSAID-exacerbated respiratory disease, urticaria/angioedema, and anaphylaxis.",MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
Salicylates,salicylates,Aspirin and salicylate-containing medicines.,Aspirin sensitivity can cross-react clinically with many COX-1 NSAIDs.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
Fluoroquinolones,fluoroquinolones,Fluoroquinolone antibiotics; includes ciprofloxacin.,Avoid same-class rechallenge after severe immediate hypersensitivity unless specialist-supervised.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
Macrolides,macrolides,Macrolide antibiotics; includes clarithromycin.,Allergy is less common but same-class alternatives require review when reaction was severe.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
Sulfonylureas,sulfonylureas,Sulfonylurea antidiabetics; includes glibenclamide.,Different from sulfonamide antibiotic allergy; keep distinct to avoid false positives.,MedFlow clinical seed,https://www.aaaai.org/allergist-resources/ask-the-expert/answers/2023/sulfonamide,starter_reviewed
Insulins,insulins,Insulin preparations and analogues; includes insulin glargine.,Can involve insulin molecule or excipients; reaction details matter.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
Statins,statins,HMG-CoA reductase inhibitors; includes atorvastatin and simvastatin.,Distinguish allergy from intolerance such as myalgia.,MedFlow clinical seed,https://dailymed.nlm.nih.gov/,starter_reviewed
SSRIs,ssris,Selective serotonin reuptake inhibitors; includes fluoxetine and sertraline.,"True allergy is uncommon; document rash, angioedema, or severe reactions separately from side effects.",MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
Opioids,opioids,Opioid analgesics and opioid-like medicines; includes tramadol.,Differentiate true allergy from histamine-mediated itching or nausea.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
Carbapenems,carbapenems,Carbapenem beta-lactam antibiotics.,Use as a beta-lactam review group; CDC notes later-generation cephalosporins and carbapenems can be safe in selected patients without recent IgE-mediated penicillin symptoms.,CDC penicillin allergy guidance,https://www.cdc.gov/std/treatment-guidelines/penicillin-allergy.htm,moderate
Sulfonamide antibiotics,sulfonamide_antibiotics,"Antibacterial sulfonamides, such as sulfamethoxazole-containing medicines.",Keep distinct from non-antibiotic sulfonamides; AAAAI states clinically significant immune cross-reactivity with non-antibiotic sulfonamides is not supported.,AAAAI sulfonamide cross-reactivity guidance,https://www.aaaai.org/allergist-resources/ask-the-expert/answers/2023/sulfonamide,high
Anticoagulants,anticoagulants,Anticoagulant medicines in the priority set; includes warfarin and heparin.,Use for documented hypersensitivity to anticoagulants; distinguish allergy from bleeding risk or expected pharmacologic effect.,NICE Drug allergy CG183 + DailyMed/OpenFDA label evidence,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,moderate
Heparins,heparins,Heparin and heparin-derived anticoagulants.,Use for documented heparin allergy or heparin-induced thrombocytopenia history; HIT is an immune adverse reaction and should be handled distinctly from simple intolerance.,DailyMed/OpenFDA label evidence,https://dailymed.nlm.nih.gov/,high
Antiplatelets,antiplatelets,Antiplatelet medicines in the priority set; includes aspirin and clopidogrel.,Use for documented hypersensitivity to antiplatelet medicines; distinguish allergy from bleeding risk.,NICE Drug allergy CG183 + DailyMed/OpenFDA label evidence,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,moderate
Biguanides,biguanides,Biguanide antidiabetic medicines; includes metformin.,Use for documented metformin hypersensitivity; distinguish allergy from gastrointestinal intolerance or lactic acidosis risk.,NICE Drug allergy CG183 + RxNorm identity,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
ACE inhibitors,ace_inhibitors,Angiotensin-converting enzyme inhibitors; includes enalapril and ramipril.,ACE inhibitor angioedema is clinically important and should trigger same-class avoidance/review; distinguish from cough.,DailyMed/OpenFDA label evidence + NICE drug-allergy documentation,https://dailymed.nlm.nih.gov/,high
Calcium channel blockers,calcium_channel_blockers,Calcium channel blockers; includes amlodipine.,"Use for documented hypersensitivity-type reactions; distinguish from edema, flushing, or hypotension.",NICE Drug allergy CG183 + RxNorm identity,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
Loop diuretics,loop_diuretics,Loop diuretics; includes furosemide.,Use for documented loop-diuretic hypersensitivity; do not equate with sulfonamide antibiotic allergy without evidence.,AAAAI sulfonamide cross-reactivity guidance + RxNorm identity,https://www.aaaai.org/allergist-resources/ask-the-expert/answers/2023/sulfonamide,moderate
Potassium-sparing diuretics,potassium_sparing_diuretics,Potassium-sparing diuretics; includes spironolactone.,Use for documented hypersensitivity-type reactions; distinguish from endocrine side effects or hyperkalemia risk.,NICE Drug allergy CG183 + RxNorm identity,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
Cardiac glycosides,cardiac_glycosides,Cardiac glycosides; includes digoxin.,Use for documented digoxin hypersensitivity; distinguish from toxicity.,NICE Drug allergy CG183 + RxNorm identity,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
Corticosteroids,corticosteroids,Systemic corticosteroids; includes prednisolone.,Use for documented corticosteroid hypersensitivity or excipient allergy; distinguish from predictable steroid adverse effects.,NICE Drug allergy CG183 + RxNorm identity,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
Nitroimidazoles,nitroimidazoles,Nitroimidazole antibiotics; includes metronidazole.,Use for documented metronidazole/nitroimidazole hypersensitivity.,NICE Drug allergy CG183 + RxNorm identity,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
