canonical_inn,rxnorm_cui,allergy_group,relationship_type,clinical_note,source,source_url,confidence
amoxicillin,133008,Beta-lactams,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://api.fda.gov/drug/label.json?search=openfda.generic_name.exact:%22AMOXICILLIN%22&limit=1,starter_reviewed
amoxicillin,133008,Penicillins,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://api.fda.gov/drug/label.json?search=openfda.generic_name.exact:%22AMOXICILLIN%22&limit=1,starter_reviewed
aspirin,1191,NSAIDs,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
aspirin,1191,Salicylates,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
atorvastatin,83367,Statins,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://dailymed.nlm.nih.gov/,starter_reviewed
ciprofloxacin,235851,Fluoroquinolones,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
clarithromycin,21212,Macrolides,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
diclofenac,3355,NSAIDs,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
fluoxetine,227224,SSRIs,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
glibenclamide,4815,Sulfonylureas,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://www.aaaai.org/allergist-resources/ask-the-expert/answers/2023/sulfonamide,starter_reviewed
ibuprofen,5640,NSAIDs,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
insulin glargine,274783,Insulins,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
naproxen,7258,NSAIDs,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
