molecule_a,molecule_b,severity_ansm,severity_openfda,clinical_effect,management
warfarin,aspirin,deconseillee,major,Increased risk of hemorrhage due to additive anticoagulant/antiplatelet effects and gastric mucosal irritation by aspirin.,"Avoid combination. If co-administration is necessary, monitor INR closely and check for clinical signs of bleeding."
warfarin,heparin,precaution_emploi,major,Additive anticoagulant effect increases the risk of serious bleeding.,Monitor coagulation profiles (INR and aPTT) closely and adjust doses as needed.
warfarin,clopidogrel,deconseillee,major,Increased risk of major bleeding due to combined antiplatelet and anticoagulant action.,Avoid co-prescription unless strictly indicated. Perform intensive clinical monitoring for bleeding signs.
warfarin,ibuprofen,deconseillee,major,"NSAID inhibits platelet aggregation and damages gastric mucosa, dramatically raising gastrointestinal bleeding risk.",Avoid NSAIDs. Recommend acetaminophen/paracetamol for pain control instead.
warfarin,diclofenac,deconseillee,major,NSAID platelet inhibition and mucosal damage increase bleeding risk.,Avoid combination. Monitor coagulation parameters and use alternative analgesics.
warfarin,naproxen,deconseillee,major,Increased risk of GI bleeding and severe hemorrhage due to pharmacological synergy.,Contraindicated/deconseillee. Use alternative pain relievers and monitor INR.
warfarin,fluconazole,deconseillee,major,"Fluconazole inhibits CYP2C9, which metabolizes the active S-warfarin, leading to warfarin accumulation and high bleeding risk.",Reduce warfarin dose by 30-50% when starting fluconazole. Monitor INR daily.
warfarin,carbamazepine,precaution_emploi,major,"Carbamazepine induces CYP2C9 and CYP3A4, increasing warfarin clearance and reducing its anticoagulant efficacy.",Monitor INR and increase warfarin dosage as required during co-treatment. Monitor INR again upon carbamazepine discontinuation.
simvastatin,clarithromycin,contre_indique,major,"Clarithromycin is a potent CYP3A4 inhibitor. It blocks simvastatin metabolism, increasing its exposure and risk of severe myopathy/rhabdomyolysis.",Absolute contraindication. Withhold simvastatin during the antibiotic course.
fluoxetine,tramadol,deconseillee,major,"Risk of serotonin syndrome (agitation, muscle rigidity, hyperthermia) and increased risk of seizures. Fluoxetine also inhibits CYP2D6, lowering active tramadol levels.",Avoid combination. Monitor closely for serotonergic symptoms if co-prescribed.
sertraline,tramadol,precaution_emploi,major,Increased risk of serotonin syndrome due to serotonin reuptake inhibition by both drugs.,"Monitor for mental status changes, autonomic instability, and neuromuscular hyperactivity."
enalapril,spironolactone,precaution_emploi,major,"Risk of severe, life-threatening hyperkalemia, especially in patients with renal impairment.",Monitor serum potassium and creatinine regularly. Discontinue if potassium levels exceed 5.0 mEq/L.
ramipril,spironolactone,precaution_emploi,major,Risk of severe hyperkalemia due to additive potassium-sparing effects.,Check potassium levels and renal function before and during treatment.
digoxin,clarithromycin,precaution_emploi,major,"Clarithromycin inhibits P-gp, increasing digoxin bioavailability and decreasing its renal clearance, causing digitalis toxicity.","Reduce digoxin dosage, monitor serum digoxin levels, and monitor ECG for signs of toxicity."
carbamazepine,clarithromycin,contre_indique,major,"Clarithromycin inhibits CYP3A4, causing a dramatic increase in carbamazepine plasma levels and risk of neurotoxicity.",Contraindicated. Use alternative antibiotic that does not inhibit CYP3A4 (e.g. amoxicillin).
clopidogrel,omeprazole,a_prendre_en_compte,moderate,"Omeprazole inhibits CYP2C19, which is required to convert clopidogrel to its active metabolite, reducing its antiplatelet efficacy.",Avoid omeprazole. Use pantoprazole or famotidine instead as a gastric protectant.
amlodipine,simvastatin,a_prendre_en_compte,moderate,"Amlodipine increases simvastatin exposure (via CYP3A4 inhibition), raising the risk of myopathy.",Limit Simvastatin dose to a maximum of 20mg/day when co-administered.
