"canonical_inn","rxnorm_cui","allergy_group","relationship_type","clinical_note","source","confidence"
"amoxicillin","133008","Beta-lactams","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"amoxicillin","133008","Penicillins","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"aspirin","1191","NSAIDs","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"aspirin","1191","Salicylates","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"atorvastatin","83367","Statins","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"ciprofloxacin","235851","Fluoroquinolones","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"clarithromycin","21212","Macrolides","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"diclofenac","3355","NSAIDs","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"fluoxetine","227224","SSRIs","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"glibenclamide","4815","Sulfonylureas","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"ibuprofen","5640","NSAIDs","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"insulin glargine","274783","Insulins","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"naproxen","7258","NSAIDs","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"sertraline","155137","SSRIs","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"simvastatin","36567","Statins","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
"tramadol","10689","Opioids","member","Alert when patient has documented allergy to this group and this molecule is prescribed.","MedFlow clinical seed","starter_reviewed"
